出現形,[細分類],[大分類],[ICDコード],[標準病名],[MedDRA],[抗がん剤有害事象],<間質性肺炎>,<末梢神経障害>,<手足症候群>,<嘔気>,<嘔吐>,<口内炎>,<空咳>
赤み痛み,-1,-1,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,1,0
異常感覚,末梢神経障害,神経毒性,R202,感覚異常症,異常感覚,異常感覚,0,1,1,0,0,0,0
異常知覚,末梢神経障害,神経毒性,R202,異常知覚,異常感覚,異常感覚,0,1,1,0,0,0,0
下肢疼痛,末梢神経障害,神経毒性,R529,疼痛,[AMB],下肢痛,0,1,1,0,0,0,0
深部覚障害,末梢神経障害,神経毒性,R208,知覚障害,[AMB],感覚障害,0,1,1,0,0,0,0
温痛覚障害,末梢神経障害,神経毒性,R203,温痛覚過敏,[AMB],感覚障害,0,1,1,0,0,0,0
知覚異常,末梢神経障害,神経毒性,R208,知覚障害,[AMB],感覚障害,0,1,1,0,0,0,0
感覚異常,末梢神経障害,神経毒性,R202,感覚異常症,感覚障害,感覚障害,0,1,1,0,0,0,0
感覚障害,末梢神経障害,神経毒性,R208,体感異常,感覚障害,感覚障害,0,1,1,0,0,0,0
両下肢感覚障害,末梢神経障害,神経毒性,R201;R202,下肢知覚低下;下肢知覚異常,感覚障害,感覚障害,0,1,1,0,0,0,0
下肢感覚障害,末梢神経障害,神経毒性,R201;R202,下肢知覚低下;下肢知覚異常,感覚障害,感覚障害,0,1,1,0,0,0,0
下肢異常感覚,末梢神経障害,神経毒性,R201;R202,下肢知覚低下;下肢知覚異常,感覚障害,感覚障害,0,1,1,0,0,0,0
四肢感覚障害,末梢神経障害,神経毒性,R202,異常知覚,感覚障害,感覚障害,0,1,1,0,0,0,0
深部感覚障害,末梢神経障害,神経毒性,R208,知覚障害,感覚障害,感覚障害,0,1,1,0,0,0,0
Ｇ２右脚しびれ,末梢神経障害,神経毒性,R208,下肢しびれ,感覚障害,感覚障害,0,1,1,0,0,0,0
痺れ,末梢神経障害,神経毒性,R208,しびれ感,[AMB],感覚鈍麻,0,1,1,0,0,0,0
下肢痺れ,末梢神経障害,神経毒性,R208,下肢しびれ,感覚鈍麻,感覚鈍麻,0,1,1,0,0,0,0
両下肢しびれ,末梢神経障害,神経毒性,R208,下肢しびれ,感覚鈍麻,感覚鈍麻,0,1,1,0,0,0,0
感覚鈍麻,末梢神経障害,神経毒性,R202,感覚異常症,感覚鈍麻,感覚鈍麻,0,1,1,0,0,0,0
痛覚低下,末梢神経障害,神経毒性,R201,知覚鈍麻,感覚鈍麻,感覚鈍麻,0,1,1,0,0,0,0
左下肢しびれ,末梢神経障害,神経毒性,R208,下肢しびれ,感覚鈍麻,感覚鈍麻,0,1,1,0,0,0,0
右下肢しびれ,末梢神経障害,神経毒性,R208,下肢しびれ,感覚鈍麻,感覚鈍麻,0,1,1,0,0,0,0
右上肢しびれ,末梢神経障害,神経毒性,R208,上肢しびれ,感覚鈍麻,感覚鈍麻,0,1,1,0,0,0,0
知覚鈍麻,末梢神経障害,神経毒性,R201,知覚鈍麻,感覚鈍麻,感覚鈍麻,0,1,1,0,0,0,0
下肢しびれ,末梢神経障害,神経毒性,R208,下肢しびれ,感覚鈍麻,感覚鈍麻,0,1,1,0,0,0,0
四肢しびれ,末梢神経障害,神経毒性,R208,四肢しびれ,感覚鈍麻,感覚鈍麻,0,1,1,0,0,0,0
感覚鈍化,末梢神経障害,神経毒性,R202,感覚異常症,感覚鈍麻,感覚鈍麻,0,1,1,0,0,0,0
手足痺れ,末梢神経障害,神経毒性,R208,四肢しびれ,感覚鈍麻,感覚鈍麻,0,1,1,0,0,0,0
しびれＧ３,末梢神経障害,神経毒性,R208,しびれ感,感覚鈍麻,感覚鈍麻,0,1,1,0,0,0,0
しびれ増悪,末梢神経障害,神経毒性,R208,しびれ感,感覚鈍麻,感覚鈍麻,0,1,1,0,0,0,0
少ししびれ,末梢神経障害,神経毒性,R208,しびれ感,感覚鈍麻,感覚鈍麻,0,1,1,0,0,0,0
手足しびれＧ１程度,末梢神経障害,神経毒性,R208,四肢しびれ,感覚鈍麻,感覚鈍麻,0,1,1,0,0,0,0
しびれ症状,末梢神経障害,神経毒性,R208,しびれ感,感覚鈍麻,感覚鈍麻,0,1,1,0,0,0,0
感覚麻痺,末梢神経障害,神経毒性,R202,感覚異常症,感覚鈍麻,感覚鈍麻,0,1,1,0,0,0,0
手足先痺れ少,末梢神経障害,神経毒性,R208,四肢しびれ,感覚鈍麻,感覚鈍麻,0,1,1,0,0,0,0
局所的腫脹,-1,-1,[AMB],[AMB],腫脹,腫脹,0,0,1,0,0,1,0
知覚過敏,末梢神経障害,神経毒性,R203,皮膚知覚過敏,知覚過敏,知覚過敏,0,1,1,0,0,0,0
痛覚過敏,末梢神経障害,神経毒性,R203,温痛覚過敏,知覚過敏,知覚過敏,0,1,1,0,0,0,0
感覚過敏,末梢神経障害,神経毒性,R203,温度感覚過敏;温痛覚過敏,知覚過敏,知覚過敏,0,1,1,0,0,0,0
知覚障害,末梢神経障害,神経毒性,R208,知覚障害,[AMB],知覚障害,0,1,1,0,0,0,0
知覚異常,末梢神経障害,神経毒性,R208,上肢知覚異常;知覚障害;四肢知覚異常,[AMB],知覚障害,0,1,1,0,0,0,0
発赤,発赤,皮膚毒性,R21,発赤,[AMB],皮膚障害,0,0,1,0,0,1,0
一部発赤,発赤,皮膚毒性,R21,発赤,[AMB],皮膚障害,0,0,1,0,0,1,0
点状発赤,発赤,皮膚毒性,R21,発赤,[AMB],皮膚障害,0,0,1,0,0,1,0
二重発赤,発赤,皮膚毒性,R21,発赤,[AMB],皮膚障害,0,0,1,0,0,1,0
赤み,発赤,皮膚毒性,[AMB],[AMB],[AMB],皮膚障害,0,0,1,0,0,1,0
軽度痛み,末梢神経障害;口内炎,神経毒性;消化器毒性,R529,疼痛,[AMB],疼痛,0,1,1,0,0,0,0
歩行時疼痛,末梢神経障害,神経毒性,R529,疼痛,疼痛,疼痛,0,1,1,0,0,0,0
電撃痛,末梢神経障害,神経毒性,R529,疼痛,疼痛,疼痛,0,1,1,0,0,0,0
足痛み,末梢神経障害,神経毒性,M7967,足痛,疼痛,疼痛,0,1,1,0,0,0,0
労作時痛,末梢神経障害,神経毒性,R529,疼痛,疼痛,疼痛,0,1,1,0,0,0,0
歩行時痛み,末梢神経障害,神経毒性,R529,疼痛,疼痛,疼痛,0,1,1,0,0,0,0
シクシク痛,末梢神経障害,神経毒性,R529,疼痛,疼痛,疼痛,0,1,1,0,0,0,0
自制内痛み,末梢神経障害;口内炎,神経毒性;消化器毒性,R529,疼痛,疼痛,疼痛,0,1,1,0,0,0,0
ピリピリ痛む,末梢神経障害,神経毒性,R529,疼痛,疼痛,疼痛,0,1,1,0,0,0,0
両足先痛,末梢神経障害,神経毒性,M7967,足痛,疼痛,疼痛,0,1,1,0,0,0,0
粘膜発赤,口内炎,消化器毒性,R21,発赤,[AMB],[AMB],0,0,0,0,0,1,0
乾燥著明,-1,-1,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,0,0
乾燥,-1,-1,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,0,0
ひび割れ,角化,皮膚毒性,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,0,0
ヒリヒリ感,末梢神経障害,神経毒性,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,0,0
ビリビリ感,末梢神経障害,神経毒性,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,0,0
Ｇ１乾燥,-1,-1,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,0,0
Ｇ１変色,-1,-1,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,0,0
軽度乾燥,-1,-1,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,0,0
口腔症状,口内炎,消化器毒性,[AMB],[AMB],[AMB],[AMB],0,0,0,0,0,1,0
違和感,-1,-1,[AMB],[AMB],異常感,[AMB],0,0,1,0,0,0,0
ピリピリ感,末梢神経障害,神経毒性,R202,ピリピリ感,錯感覚,[AMB],0,0,1,0,0,0,0
神経障害,末梢神経障害;中枢神経障害,神経毒性,[AMB],[AMB],神経系障害,[AMB],0,1,0,0,0,0,0
くろずみ,色素沈着,皮膚毒性,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,0,0
赤み腫れ,-1,-1,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,0,0
皮剥け,-1,-1,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,0,0
ピリピリ痛み,末梢神経障害,神経毒性,R529,疼痛,疼痛,[AMB],0,0,1,0,0,0,0
手指着色,-1,-1,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,0,0
皮膚ぴりぴり,末梢神経障害,神経毒性,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,0,0
足裏変,-1,-1,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,0,0
ヒリヒリ感軽度,末梢神経障害,神経毒性,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,0,0
乾燥傾向,-1,-1,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,0,0
チリチリ感,末梢神経障害,神経毒性,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,0,0
末梢冷感なし［皮膚］発赤,-1,-1,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,0,0
問題（発赤,発赤,皮膚毒性,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,0,0
口腔内異常（＋発赤,口内炎,皮膚毒性,[AMB],[AMB],[AMB],[AMB],0,0,0,0,0,1,0
紅斑～丘疹,-1,-1,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,0,0
痛覚・異常感覚,-1,-1,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,0,0
色素沈着手指黒変,-1,-1,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,0,0
乾燥痛み,-1,-1,[AMB],[AMB],[AMB],[AMB],0,0,1,0,0,0,0
空嘔吐,吐き気,消化器毒性,R11,嘔気,レッチング,レッチング,0,0,0,1,0,0,0
空嘔吐き,吐き気,消化器毒性,R11,嘔気,レッチング,レッチング,0,0,0,1,0,0,0
悪心,吐き気,消化器毒性,R11,悪心,悪心,悪心,0,0,0,1,0,0,0
吐き気,吐き気,消化器毒性,R11,嘔気,悪心,悪心,0,0,0,1,0,0,0
嘔気,吐き気,消化器毒性,R11,嘔気,悪心,悪心,0,0,0,1,0,0,0
むかつき,吐き気,消化器毒性,R11,悪心,悪心,悪心,0,0,0,1,0,0,0
吐気,吐き気,消化器毒性,R11,嘔気,悪心,悪心,0,0,0,1,0,0,0
食後悪心,吐き気,消化器毒性,R11,食後悪心,悪心,悪心,0,0,0,1,0,0,0
嘔気症状,吐き気,消化器毒性,R11,嘔気,悪心,悪心,0,0,0,1,0,0,0
軽度嘔気,吐き気,消化器毒性,R11,嘔気,悪心,悪心,0,0,0,1,0,0,0
気持ち悪さ,吐き気,消化器毒性,R11,嘔気,悪心,悪心,0,0,0,1,0,0,0
悪心軽度,吐き気,消化器毒性,R11,悪心,悪心,悪心,0,0,0,1,0,0,0
嘔気Ｇ１,吐き気,消化器毒性,R11,嘔気,悪心,悪心,0,0,0,1,0,0,0
悪心継続,吐き気,消化器毒性,R11,悪心,悪心,悪心,0,0,0,1,0,0,0
吐き気Ｇ,吐き気,消化器毒性,R11,嘔気,悪心,悪心,0,0,0,1,0,0,0
吐き気感,吐き気,消化器毒性,R11,嘔気,悪心,悪心,0,0,0,1,0,0,0
悪心Ｇ１,吐き気,消化器毒性,R11,悪心,悪心,悪心,0,0,0,1,0,0,0
悪心Ｇ２,吐き気,消化器毒性,R11,悪心,悪心,悪心,0,0,0,1,0,0,0
吐き気Ｇ１－２,吐き気,消化器毒性,R11,嘔気,悪心,悪心,0,0,0,1,0,0,0
悪心持続,吐き気,消化器毒性,R11,悪心,悪心,悪心,0,0,0,1,0,0,0
吐きそう,吐き気,消化器毒性,R11,嘔気,悪心,悪心,0,0,0,1,0,0,0
吐き気大変,吐き気,消化器毒性,R11,嘔気,悪心,悪心,0,0,0,1,0,0,0
軽度吐き気,吐き気,消化器毒性,R11,嘔気,悪心,悪心,0,0,0,1,0,0,0
Ｇ１悪心,吐き気,消化器毒性,R11,悪心,悪心,悪心,0,0,0,1,0,0,0
吐きけ,吐き気,消化器毒性,R11,嘔気,悪心,悪心,0,0,0,1,0,0,0
予測性悪心,吐き気,消化器毒性,R11,悪心,悪心,悪心,0,0,0,1,0,0,0
予測性嘔気,吐き気,消化器毒性,R11,嘔気,悪心,悪心,0,0,0,1,0,0,0
悪心Ｇ,吐き気,消化器毒性,R11,悪心,悪心,悪心,0,0,0,1,0,0,0
嘔気まし,吐き気,消化器毒性,R11,嘔気,悪心,悪心,0,0,0,1,0,0,0
悪心ｄａｙ１－７,吐き気,消化器毒性,R11,悪心,悪心,悪心,0,0,0,1,0,0,0
吐き気レベル低,吐き気,消化器毒性,R11,嘔気,悪心,悪心,0,0,0,1,0,0,0
Ｇ２悪心,吐き気,消化器毒性,R11,悪心,悪心,悪心,0,0,0,1,0,0,0
悪心まし,吐き気,消化器毒性,R11,悪心,悪心,悪心,0,0,0,1,0,0,0
吐き気Ｇ２－３,吐き気,消化器毒性,R11,嘔気,悪心,悪心,0,0,0,1,0,0,0
悪心状況,吐き気,消化器毒性,R11,悪心,悪心,悪心,0,0,0,1,0,0,0
吐き気低,吐き気,消化器毒性,R11,嘔気,悪心,悪心,0,0,0,1,0,0,0
悪心持,吐き気,消化器毒性,R11,悪心,悪心,悪心,0,0,0,1,0,0,0
違和感程度,-1,-1,[AMB],[AMB],異常感,異常感,0,0,1,0,0,0,0
軽度違和感,-1,-1,[AMB],[AMB],異常感,異常感,0,0,1,0,0,0,0
皮膚角化症,角化,皮膚毒性,L859,過角化症,過角化,過角化,0,0,1,0,0,0,0
咳症状,咳嗽;間質性肺炎;肺線維症,心毒性;肺毒性,R05,咳,[AMB],咳嗽,0,0,0,0,0,0,1
咳,咳嗽;間質性肺炎;肺線維症,心毒性;肺毒性,R05,咳,咳嗽,咳嗽,0,0,0,0,0,0,1
咳嗽,咳嗽;間質性肺炎;肺線維症,心毒性;肺毒性,R05,咳,咳嗽,咳嗽,0,0,0,0,0,0,1
夜間咳嗽,咳嗽;間質性肺炎;肺線維症,心毒性;肺毒性,R05,咳,咳嗽,咳嗽,0,0,0,0,0,0,1
咳嗽症状,咳嗽;間質性肺炎;肺線維症,心毒性;肺毒性,R05,咳,咳嗽,咳嗽,0,0,0,0,0,0,1
咳嗽発作,咳嗽;間質性肺炎;肺線維症,心毒性;肺毒性,R05,咳,咳嗽,咳嗽,0,0,0,0,0,0,1
軽度咳嗽,咳嗽;間質性肺炎;肺線維症,心毒性;肺毒性,R05,咳,咳嗽,咳嗽,0,0,0,0,0,0,1
慢性咳嗽,咳嗽;間質性肺炎;肺線維症,心毒性;肺毒性,R05,慢性咳嗽,咳嗽,咳嗽,0,0,0,0,0,0,1
空咳,咳嗽;間質性肺炎;肺線維症,心毒性;肺毒性,R05,咳,咳嗽,乾性咳嗽,0,0,0,0,0,0,1
乾性咳嗽,間質性肺炎;肺線維症,肺毒性,R05,乾性咳,咳嗽,乾性咳嗽,0,0,0,0,0,0,1
空咳少し,咳嗽;間質性肺炎;肺線維症,心毒性;肺毒性,R05,乾性咳,乾性咳嗽,乾性咳嗽,0,0,0,0,0,0,1
肺間質性肺炎,間質性肺炎,肺毒性,J849,間質性肺炎,間質性肺炎,間質性肺炎,1,0,0,0,0,0,0
間質性肺炎増悪,間質性肺炎,肺毒性,J849,間質性肺炎,間質性肺炎,間質性肺炎,1,0,0,0,0,0,0
再度間質性肺炎,間質性肺炎,肺毒性,J849,間質性肺炎,間質性肺炎,間質性肺炎,1,0,0,0,0,0,0
間質性肺炎,間質性肺炎,肺毒性,J849,間質性肺炎,間質性肺疾患,間質性肺炎,1,0,0,0,0,0,0
間質性肺炎像,間質性肺炎,肺毒性,J849,間質性肺炎,間質性肺疾患,間質性肺炎,1,0,0,0,0,0,0
点間質性肺炎,間質性肺炎,肺毒性,J849,間質性肺炎,間質性肺疾患,間質性肺炎,1,0,0,0,0,0,0
両間質性肺炎,間質性肺炎,肺毒性,J849,間質性肺炎,間質性肺疾患,間質性肺炎,1,0,0,0,0,0,0
間質性性肺炎,間質性肺炎,肺毒性,J849,間質性肺炎,間質性肺疾患,間質性肺炎,1,0,0,0,0,0,0
間質性肺炎初期症状,間質性肺炎,肺毒性,J849,間質性肺炎,間質性肺疾患,間質性肺炎,1,0,0,0,0,0,0
口角炎,口内炎,消化器毒性,K130,口角炎,[AMB],口角口唇炎,0,0,0,0,0,1,0
Ｇ１口角炎,口内炎,消化器毒性,K130,口角炎,口角炎,口角口唇炎,0,0,0,0,0,1,0
口腔粘膜異常,-1,-1,[AMB],[AMB],[AMB],口腔障害,0,0,0,0,0,1,0
口腔粘膜傷害,-1,-1,[AMB],[AMB],口腔粘膜障害,口腔障害,0,0,0,0,0,1,0
口腔粘膜異常,-1,-1,[AMB],[AMB],口腔粘膜障害,口腔障害,0,0,0,0,0,1,0
口腔内腫脹,口内炎,消化器毒性,S005,口腔外傷性腫脹,口腔咽頭腫脹,口腔内腫脹,0,0,0,0,0,1,0
口内疼痛,口内炎,消化器毒性,R198,口内痛,口腔内痛,口腔内痛,0,0,0,0,0,1,0
口腔内疼痛,口内炎,消化器毒性,R198,口内痛,口腔内痛,口腔内痛,0,0,0,0,0,1,0
口全体痛,口内炎,消化器毒性,[AMB],[AMB],口腔内痛,口腔内痛,0,0,0,0,0,1,0
口腔内違和感,-1,-1,[AMB],[AMB],口腔内不快感,口腔内不快感,0,0,0,0,0,1,0
口唇炎,口内炎,消化器毒性,K130,口唇炎,口唇炎,口唇炎,0,0,0,0,0,1,0
口唇発赤,-1,-1,R21,発赤,口唇炎,口唇炎,0,0,0,0,0,1,0
口内炎,口内炎,消化器毒性,K121,口内炎,口内炎,口内炎,0,0,0,0,0,1,0
口腔粘膜炎,口内炎,消化器毒性,K121,口腔粘膜炎,口内炎,口内炎,0,0,0,0,0,1,0
口腔内発赤,口内炎,消化器毒性,R21,発赤,口内炎,口内炎,0,0,0,0,0,1,0
毎クール口内炎,口内炎,消化器毒性,K121,口内炎,口内炎,口内炎,0,0,0,0,0,1,0
口内炎Ｇ２,口内炎,消化器毒性,K121,口内炎,口内炎,口内炎,0,0,0,0,0,1,0
口内炎＋,口内炎,消化器毒性,K121,口内炎,口内炎,口内炎,0,0,0,0,0,1,0
口内炎状況,口内炎,消化器毒性,K121,口内炎,口内炎,口内炎,0,0,0,0,0,1,0
Ｇｒａｄｅ２口内炎,口内炎,消化器毒性,K121,口内炎,口内炎,口内炎,0,0,0,0,0,1,0
口内炎ひどい,口内炎,消化器毒性,K121,口内炎,口内炎,口内炎,0,0,0,0,0,1,0
Ｇ１口内炎,口内炎,消化器毒性,K121,口内炎,口内炎,口内炎,0,0,0,0,0,1,0
口腔粘膜炎軽度,口内炎,消化器毒性,K121,口内炎,口内炎,口内炎,0,0,0,0,0,1,0
ｄａｙ８口内炎,口内炎,消化器毒性,K121,口内炎,口内炎,口内炎,0,0,0,0,0,1,0
口腔粘膜炎,口内炎,消化器毒性,K121,口内炎,口内炎,口内炎,0,0,0,0,0,1,0
浮腫性紅斑,紅斑,皮膚毒性;過敏症状,L539,紅斑症,紅斑,紅斑,0,0,1,0,0,0,0
紅斑,紅斑,皮膚毒性;過敏症状,L539,紅斑症,紅斑,紅斑,0,0,1,0,0,0,0
暗赤色斑,紅斑,皮膚毒性;過敏症状,R21,斑状皮疹,斑状皮疹,紅斑,0,0,1,0,0,0,0
歯肉炎,口内炎,消化器毒性,K051,歯肉炎,歯肉炎,歯肉炎,0,0,0,0,0,1,0
歯茎腫れ,口内炎,消化器毒性,[AMB],[AMB],歯肉腫脹,歯肉腫脹,0,0,0,0,0,1,0
湿疹,-1,-1,L309,湿疹,湿疹,湿疹,0,0,1,0,0,0,0
脂肪様湿疹,-1,-1,L309,湿疹,湿疹,湿疹,0,0,1,0,0,0,0
ＨＦＳ,末梢神経障害;発赤;角化;水疱;爪の変形,神経毒性;皮膚毒性,L271,手足症候群,[AMB],手掌・足底発赤知覚不全症候群,0,0,1,0,0,0,0
爪・皮膚障害,-1,-1,[AMB],[AMB],手掌・足底発赤知覚不全症候群,手掌・足底発赤知覚不全症候群,0,0,1,0,0,0,0
手足症候群,末梢神経障害;発赤;角化;水疱;爪の変形,神経毒性;皮膚毒性,L271,手足症候群,手掌・足底発赤知覚不全症候群,手掌・足底発赤知覚不全症候群,0,0,1,0,0,0,0
手足症候群様症状足,末梢神経障害;発赤;角化;水疱;爪の変形,神経毒性;皮膚毒性,L271,手足症候群,手掌・足底発赤知覚不全症候群,手掌・足底発赤知覚不全症候群,0,0,1,0,0,0,0
手足症候群Ｇ２,末梢神経障害;発赤;角化;水疱;爪の変形,神経毒性;皮膚毒性,L271,手足症候群,手掌・足底発赤知覚不全症候群,手掌・足底発赤知覚不全症候群,0,0,1,0,0,0,0
Ｇ２手足症候群,末梢神経障害;発赤;角化;水疱;爪の変形,神経毒性;皮膚毒性,L271,手足症候群,手掌・足底発赤知覚不全症候群,手掌・足底発赤知覚不全症候群,0,0,1,0,0,0,0
手足皮膚反応,末梢神経障害;発赤;角化;水疱;爪の変形,神経毒性;皮膚毒性,[AMB],[AMB],皮膚反応,手掌・足底発赤知覚不全症候群,0,0,1,0,0,0,0
手掌赤み,発赤,皮膚毒性,[AMB],[AMB],手掌紅斑,手掌紅斑,0,0,1,0,0,0,0
手指腫脹,-1,-1,R223,手指腫脹,腫脹,腫脹,0,0,1,0,0,0,0
黒ずみ,色素沈着,皮膚毒性,L819,皮膚色素沈着,[AMB],色素沈着障害,0,0,1,0,0,0,0
水疱,水疱,皮膚毒性,L139,水疱症,水疱,水疱,0,0,1,0,0,0,0
水ぶくれ,水疱,皮膚毒性,L139,水疱症,水疱,水疱,0,0,1,0,0,0,0
舌炎,口内炎,消化器毒性,K140,舌炎,舌炎,舌炎,0,0,0,0,0,1,0
Ｇ１舌炎,口内炎,消化器毒性,K140,舌炎,舌炎,舌炎,0,0,0,0,0,1,0
爪障害,爪の変形,皮膚毒性,L609,爪の障害,爪の障害,爪の障害,0,0,1,0,0,0,0
爪変形,爪の変形,皮膚毒性,L609,爪の障害,爪の障害,爪の障害,0,0,1,0,0,0,0
皮膚・爪障害,爪の変形,皮膚毒性,L609,爪の障害,爪の障害,爪の障害,0,0,1,0,0,0,0
２枚爪,爪の変形,皮膚毒性,L609,爪の障害,爪の障害,爪の障害,0,0,1,0,0,0,0
爪症状悪化,爪の変形,皮膚毒性,L609,爪の障害,爪の障害,爪の障害,0,0,1,0,0,0,0
爪先割れ,爪の変形,皮膚毒性,L609,爪の障害,爪の障害,爪の障害,0,0,1,0,0,0,0
親指爪めくれ,爪の変形,皮膚毒性,L609,爪の障害,爪の障害,爪の障害,0,0,1,0,0,0,0
爪症状,-1,-1,L609,爪の障害,爪色素沈着,爪の障害,0,0,1,0,0,0,0
色素沈着爪,色素沈着,皮膚毒性,L608,爪変色,爪色素沈着,爪色素沈着,0,0,1,0,0,0,0
爪変色,色素沈着,皮膚毒性,L608,爪変色,爪変色,爪変色,0,0,1,0,0,0,0
爪黒色化,色素沈着,皮膚毒性,L608,爪変色,爪変色,爪変色,0,0,1,0,0,0,0
